DATE,DGS1
1/3/2012,0.12
1/4/2012,0.12
1/5/2012,0.11
1/6/2012,0.12
1/9/2012,0.11
1/10/2012,0.11
1/11/2012,0.11
1/12/2012,0.11
1/13/2012,0.1
1/16/2012,.
1/17/2012,0.11
1/18/2012,0.11
1/19/2012,0.11
1/20/2012,0.11
1/23/2012,0.12
1/24/2012,0.12
1/25/2012,0.12
1/26/2012,0.12
1/27/2012,0.12
1/30/2012,0.12
1/31/2012,0.13
2/1/2012,0.13
2/2/2012,0.14
2/3/2012,0.14
2/6/2012,0.14
2/7/2012,0.14
2/8/2012,0.15
2/9/2012,0.15
2/10/2012,0.15
2/13/2012,0.15
2/14/2012,0.18
2/15/2012,0.18
2/16/2012,0.17
2/17/2012,0.18
2/20/2012,.
2/21/2012,0.17
2/22/2012,0.17
2/23/2012,0.17
2/24/2012,0.18
2/27/2012,0.17
2/28/2012,0.18
2/29/2012,0.18
3/1/2012,0.18
3/2/2012,0.17
3/5/2012,0.17
3/6/2012,0.17
3/7/2012,0.18
3/8/2012,0.18
3/9/2012,0.18
3/12/2012,0.18
3/13/2012,0.2
3/14/2012,0.21
3/15/2012,0.21
3/16/2012,0.21
3/19/2012,0.21
3/20/2012,0.22
3/21/2012,0.21
3/22/2012,0.19
3/23/2012,0.19
3/26/2012,0.19
3/27/2012,0.18
3/28/2012,0.18
3/29/2012,0.18
3/30/2012,0.19
4/2/2012,0.18
4/3/2012,0.2
4/4/2012,0.19
4/5/2012,0.19
4/6/2012,0.19
4/9/2012,0.19
4/10/2012,0.19
4/11/2012,0.18
4/12/2012,0.18
4/13/2012,0.17
4/16/2012,0.18
4/17/2012,0.18
4/18/2012,0.18
4/19/2012,0.17
4/20/2012,0.18
4/23/2012,0.17
4/24/2012,0.18
4/25/2012,0.18
4/26/2012,0.18
4/27/2012,0.19
4/30/2012,0.2
5/1/2012,0.19
5/2/2012,0.18
5/3/2012,0.19
5/4/2012,0.18
5/7/2012,0.18
5/8/2012,0.18
5/9/2012,0.18
5/10/2012,0.18
5/11/2012,0.18
5/14/2012,0.19
5/15/2012,0.19
5/16/2012,0.2
5/17/2012,0.2
5/18/2012,0.2
5/21/2012,0.21
5/22/2012,0.21
5/23/2012,0.2
5/24/2012,0.21
5/25/2012,0.2
5/28/2012,.
5/29/2012,0.2
5/30/2012,0.19
5/31/2012,0.18
6/1/2012,0.17
6/4/2012,0.18
6/5/2012,0.18
6/6/2012,0.18
6/7/2012,0.18
6/8/2012,0.19
6/11/2012,0.18
6/12/2012,0.19
6/13/2012,0.18
6/14/2012,0.18
6/15/2012,0.18
6/18/2012,0.18
6/19/2012,0.18
6/20/2012,0.2
6/21/2012,0.19
6/22/2012,0.19
6/25/2012,0.19
6/26/2012,0.21
6/27/2012,0.21
6/28/2012,0.22
6/29/2012,0.21
7/2/2012,0.21
7/3/2012,0.21
7/4/2012,.
7/5/2012,0.19
7/6/2012,0.2
7/9/2012,0.2
7/10/2012,0.2
7/11/2012,0.2
7/12/2012,0.2
7/13/2012,0.2
7/16/2012,0.18
7/17/2012,0.18
7/18/2012,0.18
7/19/2012,0.17
7/20/2012,0.17
7/23/2012,0.17
7/24/2012,0.18
7/25/2012,0.17
7/26/2012,0.18
7/27/2012,0.17
7/30/2012,0.18
7/31/2012,0.16
8/1/2012,0.17
8/2/2012,0.17
8/3/2012,0.16
8/6/2012,0.16
8/7/2012,0.19
8/8/2012,0.19
8/9/2012,0.2
8/10/2012,0.18
8/13/2012,0.19
8/14/2012,0.19
8/15/2012,0.19
8/16/2012,0.2
8/17/2012,0.2
8/20/2012,0.19
8/21/2012,0.2
8/22/2012,0.19
8/23/2012,0.19
8/24/2012,0.19
8/27/2012,0.18
8/28/2012,0.18
8/29/2012,0.18
8/30/2012,0.17
8/31/2012,0.16
9/3/2012,.
9/4/2012,0.16
9/5/2012,0.17
9/6/2012,0.18
9/7/2012,0.18
9/10/2012,0.18
9/11/2012,0.18
9/12/2012,0.18
9/13/2012,0.17
9/14/2012,0.18
9/17/2012,0.18
9/18/2012,0.18
9/19/2012,0.18
9/20/2012,0.18
9/21/2012,0.18
9/24/2012,0.18
9/25/2012,0.18
9/26/2012,0.17
9/27/2012,0.16
9/28/2012,0.17
10/1/2012,0.17
10/2/2012,0.16
10/3/2012,0.16
10/4/2012,0.18
10/5/2012,0.18
10/8/2012,.
10/9/2012,0.18
10/10/2012,0.18
10/11/2012,0.18
10/12/2012,0.18
10/15/2012,0.19
10/16/2012,0.18
10/17/2012,0.18
10/18/2012,0.18
10/19/2012,0.18
10/22/2012,0.19
10/23/2012,0.18
10/24/2012,0.18
10/25/2012,0.19
10/26/2012,0.19
10/29/2012,0.18
10/30/2012,.
10/31/2012,0.18
11/1/2012,0.18
11/2/2012,0.19
11/5/2012,0.19
11/6/2012,0.19
11/7/2012,0.18
11/8/2012,0.2
11/9/2012,0.18
11/12/2012,.
11/13/2012,0.18
11/14/2012,0.18
11/15/2012,0.17
11/16/2012,0.16
11/19/2012,0.16
11/20/2012,0.16
11/21/2012,0.17
11/22/2012,.
11/23/2012,0.19
11/26/2012,0.17
11/27/2012,0.18
11/28/2012,0.18
11/29/2012,0.18
11/30/2012,0.18
12/3/2012,0.18
12/4/2012,0.18
12/5/2012,0.18
12/6/2012,0.18
12/7/2012,0.18
12/10/2012,0.18
12/11/2012,0.16
12/12/2012,0.14
12/13/2012,0.14
12/14/2012,0.13
12/17/2012,0.13
12/18/2012,0.16
12/19/2012,0.15
12/20/2012,0.15
12/21/2012,0.15
12/24/2012,0.16
12/25/2012,.
12/26/2012,0.16
12/27/2012,0.15
12/28/2012,0.15
12/31/2012,0.16
1/1/2013,.
1/2/2013,0.15
1/3/2013,0.15
1/4/2013,0.15
1/7/2013,0.15
1/8/2013,0.14
1/9/2013,0.13
1/10/2013,0.14
1/11/2013,0.14
1/14/2013,0.14
1/15/2013,0.14
1/16/2013,0.14
1/17/2013,0.14
1/18/2013,0.14
1/21/2013,.
1/22/2013,0.14
1/23/2013,0.15
1/24/2013,0.15
1/25/2013,0.15
1/28/2013,0.16
1/29/2013,0.15
1/30/2013,0.15
1/31/2013,0.15
2/1/2013,0.15
2/4/2013,0.15
2/5/2013,0.15
2/6/2013,0.15
2/7/2013,0.15
2/8/2013,0.14
2/11/2013,0.15
2/12/2013,0.14
2/13/2013,0.15
2/14/2013,0.16
2/15/2013,0.17
2/18/2013,.
2/19/2013,0.17
2/20/2013,0.17
2/21/2013,0.16
2/22/2013,0.16
2/25/2013,0.16
2/26/2013,0.17
2/27/2013,0.17
2/28/2013,0.17
3/1/2013,0.16
3/4/2013,0.16
3/5/2013,0.15
3/6/2013,0.15
3/7/2013,0.15
3/8/2013,0.15
3/11/2013,0.15
3/12/2013,0.15
3/13/2013,0.15
3/14/2013,0.15
3/15/2013,0.14
3/18/2013,0.15
3/19/2013,0.15
3/20/2013,0.15
3/21/2013,0.14
3/22/2013,0.14
3/25/2013,0.14
3/26/2013,0.14
3/27/2013,0.14
3/28/2013,0.14
3/29/2013,.
4/1/2013,0.14
4/2/2013,0.14
4/3/2013,0.13
4/4/2013,0.13
4/5/2013,0.13
4/8/2013,0.13
4/9/2013,0.13
4/10/2013,0.12
4/11/2013,0.12
4/12/2013,0.11
4/15/2013,0.12
4/16/2013,0.13
4/17/2013,0.13
4/18/2013,0.12
4/19/2013,0.12
4/22/2013,0.12
4/23/2013,0.12
4/24/2013,0.13
4/25/2013,0.12
4/26/2013,0.12
4/29/2013,0.12
4/30/2013,0.11
5/1/2013,0.11
5/2/2013,0.11
5/3/2013,0.11
5/6/2013,0.11
5/7/2013,0.1
5/8/2013,0.11
5/9/2013,0.11
5/10/2013,0.11
5/13/2013,0.13
5/14/2013,0.12
5/15/2013,0.12
5/16/2013,0.12
5/17/2013,0.12
5/20/2013,0.12
5/21/2013,0.12
5/22/2013,0.11
5/23/2013,0.12
5/24/2013,0.12
5/27/2013,.
5/28/2013,0.13
5/29/2013,0.14
5/30/2013,0.13
5/31/2013,0.14
6/3/2013,0.14
6/4/2013,0.14
6/5/2013,0.14
6/6/2013,0.14
6/7/2013,0.14
6/10/2013,0.14
6/11/2013,0.14
6/12/2013,0.14
6/13/2013,0.14
6/14/2013,0.13
6/17/2013,0.13
6/18/2013,0.13
6/19/2013,0.13
6/20/2013,0.14
6/21/2013,0.13
6/24/2013,0.16
6/25/2013,0.17
6/26/2013,0.16
6/27/2013,0.15
6/28/2013,0.15
7/1/2013,0.15
7/2/2013,0.14
7/3/2013,0.14
7/4/2013,.
7/5/2013,0.15
7/8/2013,0.14
7/9/2013,0.14
7/10/2013,0.13
7/11/2013,0.13
7/12/2013,0.12
7/15/2013,0.11
7/16/2013,0.1
7/17/2013,0.11
7/18/2013,0.11
7/19/2013,0.11
7/22/2013,0.1
7/23/2013,0.12
7/24/2013,0.12
7/25/2013,0.12
7/26/2013,0.11
7/29/2013,0.11
7/30/2013,0.11
7/31/2013,0.11
8/1/2013,0.13
8/2/2013,0.11
8/5/2013,0.12
8/6/2013,0.12
8/7/2013,0.12
8/8/2013,0.12
8/9/2013,0.11
8/12/2013,0.12
8/13/2013,0.12
8/14/2013,0.12
8/15/2013,0.13
8/16/2013,0.13
8/19/2013,0.13
8/20/2013,0.13
8/21/2013,0.14
8/22/2013,0.14
8/23/2013,0.14
8/26/2013,0.13
8/27/2013,0.12
8/28/2013,0.14
8/29/2013,0.14
8/30/2013,0.13
9/2/2013,.
9/3/2013,0.14
9/4/2013,0.14
9/5/2013,0.16
9/6/2013,0.14
9/9/2013,0.12
9/10/2013,0.13
9/11/2013,0.12
9/12/2013,0.13
9/13/2013,0.13
9/16/2013,0.13
9/17/2013,0.12
9/18/2013,0.11
9/19/2013,0.1
9/20/2013,0.11
9/23/2013,0.1
9/24/2013,0.1
9/25/2013,0.1
9/26/2013,0.09
9/27/2013,0.1
9/30/2013,0.1
10/1/2013,0.1
10/2/2013,0.11
10/3/2013,0.11
10/4/2013,0.11
10/7/2013,0.12
10/8/2013,0.15
10/9/2013,0.15
10/10/2013,0.14
10/11/2013,0.14
10/14/2013,.
10/15/2013,0.16
10/16/2013,0.15
10/17/2013,0.13
10/18/2013,0.12
10/21/2013,0.11
10/22/2013,0.1
10/23/2013,0.11
10/24/2013,0.12
10/25/2013,0.11
10/28/2013,0.11
10/29/2013,0.11
10/30/2013,0.11
10/31/2013,0.1
11/1/2013,0.1
11/4/2013,0.09
11/5/2013,0.1
11/6/2013,0.11
11/7/2013,0.11
11/8/2013,0.12
11/11/2013,.
11/12/2013,0.13
11/13/2013,0.13
11/14/2013,0.13
11/15/2013,0.13
11/18/2013,0.13
11/19/2013,0.14
11/20/2013,0.12
11/21/2013,0.12
11/22/2013,0.12
11/25/2013,0.14
11/26/2013,0.13
11/27/2013,0.13
11/28/2013,.
11/29/2013,0.13
12/2/2013,0.13
12/3/2013,0.13
12/4/2013,0.14
12/5/2013,0.13
12/6/2013,0.13
12/9/2013,0.13
12/10/2013,0.14
12/11/2013,0.13
12/12/2013,0.14
12/13/2013,0.14
12/16/2013,0.13
12/17/2013,0.14
12/18/2013,0.13
12/19/2013,0.13
12/20/2013,0.13
12/23/2013,0.14
12/24/2013,0.14
12/25/2013,.
12/26/2013,0.13
12/27/2013,0.12
12/30/2013,0.13
12/31/2013,0.13
1/1/2014,.
1/2/2014,0.13
1/3/2014,0.13
1/6/2014,0.12
1/7/2014,0.13
1/8/2014,0.13
1/9/2014,0.13
1/10/2014,0.12
1/13/2014,0.11
1/14/2014,0.11
1/15/2014,0.13
1/16/2014,0.11
1/17/2014,0.11
1/20/2014,.
1/21/2014,0.12
1/22/2014,0.11
1/23/2014,0.11
1/24/2014,0.11
1/27/2014,0.11
1/28/2014,0.11
1/29/2014,0.11
1/30/2014,0.1
1/31/2014,0.1
2/3/2014,0.11
2/4/2014,0.12
2/5/2014,0.12
2/6/2014,0.13
2/7/2014,0.12
2/10/2014,0.12
2/11/2014,0.12
2/12/2014,0.12
2/13/2014,0.12
2/14/2014,0.11
2/17/2014,.
2/18/2014,0.12
2/19/2014,0.11
2/20/2014,0.12
2/21/2014,0.12
2/24/2014,0.11
2/25/2014,0.11
2/26/2014,0.11
2/27/2014,0.11
2/28/2014,0.12
3/3/2014,0.12
3/4/2014,0.12
3/5/2014,0.13
3/6/2014,0.12
3/7/2014,0.13
3/10/2014,0.12
3/11/2014,0.13
3/12/2014,0.12
3/13/2014,0.12
3/14/2014,0.12
3/17/2014,0.13
3/18/2014,0.13
3/19/2014,0.15
3/20/2014,0.14
3/21/2014,0.14
3/24/2014,0.14
3/25/2014,0.13
3/26/2014,0.12
3/27/2014,0.12
3/28/2014,0.13
3/31/2014,0.13
4/1/2014,0.13
4/2/2014,0.12
4/3/2014,0.11
4/4/2014,0.11
4/7/2014,0.11
4/8/2014,0.11
4/9/2014,0.1
4/10/2014,0.09
4/11/2014,0.09
4/14/2014,0.1
4/15/2014,0.11
4/16/2014,0.11
4/17/2014,0.11
4/18/2014,.
4/21/2014,0.11
4/22/2014,0.11
4/23/2014,0.11
4/24/2014,0.1
4/25/2014,0.11
4/28/2014,0.1
4/29/2014,0.11
4/30/2014,0.11
5/1/2014,0.1
5/2/2014,0.1
5/5/2014,0.11
5/6/2014,0.1
5/7/2014,0.1
5/8/2014,0.1
5/9/2014,0.1
5/12/2014,0.09
5/13/2014,0.1
5/14/2014,0.1
5/15/2014,0.09
5/16/2014,0.09
5/19/2014,0.09
5/20/2014,0.09
5/21/2014,0.09
5/22/2014,0.09
5/23/2014,0.1
5/26/2014,.
5/27/2014,0.09
5/28/2014,0.1
5/29/2014,0.1
5/30/2014,0.1
6/2/2014,0.1
6/3/2014,0.1
6/4/2014,0.1
6/5/2014,0.1
6/6/2014,0.11
6/9/2014,0.11
6/10/2014,0.11
6/11/2014,0.11
6/12/2014,0.1
6/13/2014,0.11
6/16/2014,0.11
6/17/2014,0.11
6/18/2014,0.1
6/19/2014,0.09
6/20/2014,0.09
6/23/2014,0.1
6/24/2014,0.12
6/25/2014,0.11
6/26/2014,0.11
6/27/2014,0.1
6/30/2014,0.11
7/1/2014,0.11
7/2/2014,0.12
7/3/2014,0.11
7/4/2014,.
7/7/2014,0.12
7/8/2014,0.11
7/9/2014,0.11
7/10/2014,0.1
7/11/2014,0.11
7/14/2014,0.11
7/15/2014,0.11
7/16/2014,0.11
7/17/2014,0.1
7/18/2014,0.1
7/21/2014,0.11
7/22/2014,0.11
7/23/2014,0.11
7/24/2014,0.11
7/25/2014,0.11
7/28/2014,0.11
7/29/2014,0.12
7/30/2014,0.13
7/31/2014,0.12
8/1/2014,0.13
8/4/2014,0.12
8/5/2014,0.12
8/6/2014,0.11
8/7/2014,0.11
8/8/2014,0.1
8/11/2014,0.1
8/12/2014,0.1
8/13/2014,0.1
8/14/2014,0.1
8/15/2014,0.09
8/18/2014,0.1
8/19/2014,0.11
8/20/2014,0.12
8/21/2014,0.1
8/22/2014,0.1
8/25/2014,0.11
8/26/2014,0.12
8/27/2014,0.11
8/28/2014,0.11
8/29/2014,0.09
9/1/2014,.
9/2/2014,0.1
9/3/2014,0.11
9/4/2014,0.1
9/5/2014,0.1
9/8/2014,0.1
9/9/2014,0.11
9/10/2014,0.11
9/11/2014,0.11
9/12/2014,0.11
9/15/2014,0.11
9/16/2014,0.13
9/17/2014,0.12
9/18/2014,0.12
9/19/2014,0.11
9/22/2014,0.1
9/23/2014,0.1
9/24/2014,0.11
9/25/2014,0.1
9/26/2014,0.11
9/29/2014,0.11
9/30/2014,0.13
10/1/2014,0.1
10/2/2014,0.1
10/3/2014,0.11
10/6/2014,0.11
10/7/2014,0.1
10/8/2014,0.1
10/9/2014,0.1
10/10/2014,0.1
10/13/2014,.
10/14/2014,0.09
10/15/2014,0.1
10/16/2014,0.1
10/17/2014,0.11
10/20/2014,0.1
10/21/2014,0.1
10/22/2014,0.11
10/23/2014,0.11
10/24/2014,0.11
10/27/2014,0.11
10/28/2014,0.11
10/29/2014,0.11
10/30/2014,0.11
10/31/2014,0.11
11/3/2014,0.12
11/4/2014,0.11
11/5/2014,0.11
11/6/2014,0.12
11/7/2014,0.12
11/10/2014,0.13
11/11/2014,.
11/12/2014,0.14
11/13/2014,0.15
11/14/2014,0.15
11/17/2014,0.15
11/18/2014,0.14
11/19/2014,0.15
11/20/2014,0.14
11/21/2014,0.14
11/24/2014,0.14
11/25/2014,0.14
11/26/2014,0.14
11/27/2014,.
11/28/2014,0.13
12/1/2014,0.13
12/2/2014,0.14
12/3/2014,0.15
12/4/2014,0.14
12/5/2014,0.18
12/8/2014,0.18
12/9/2014,0.23
12/10/2014,0.21
12/11/2014,0.21
12/12/2014,0.19
12/15/2014,0.22
12/16/2014,0.21
12/17/2014,0.23
12/18/2014,0.25
12/19/2014,0.26
12/22/2014,0.28
12/23/2014,0.26
12/24/2014,0.26
12/25/2014,.
12/26/2014,0.26
12/29/2014,0.25
12/30/2014,0.23
12/31/2014,0.25
1/1/2015,.
1/2/2015,0.25
1/5/2015,0.26
1/6/2015,0.25
1/7/2015,0.25
1/8/2015,0.23
1/9/2015,0.22
1/12/2015,0.19
1/13/2015,0.2
1/14/2015,0.18
1/15/2015,0.16
1/16/2015,0.17
1/19/2015,.
1/20/2015,0.17
1/21/2015,0.17
1/22/2015,0.17
1/23/2015,0.17
1/26/2015,0.18
1/27/2015,0.17
1/28/2015,0.17
1/29/2015,0.17
1/30/2015,0.18
2/2/2015,0.17
2/3/2015,0.21
2/4/2015,0.2
2/5/2015,0.2
2/6/2015,0.26
2/9/2015,0.24
2/10/2015,0.25
2/11/2015,0.24
2/12/2015,0.23
2/13/2015,0.23
2/16/2015,.
2/17/2015,0.25
2/18/2015,0.23
2/19/2015,0.23
2/20/2015,0.23
2/23/2015,0.22
2/24/2015,0.22
2/25/2015,0.21
2/26/2015,0.22
2/27/2015,0.22
3/2/2015,0.22
3/3/2015,0.26
3/4/2015,0.26
3/5/2015,0.25
3/6/2015,0.27
3/9/2015,0.27
3/10/2015,0.25
3/11/2015,0.25
3/12/2015,0.24
3/13/2015,0.24
3/16/2015,0.26
3/17/2015,0.27
3/18/2015,0.23
3/19/2015,0.26
3/20/2015,0.24
3/23/2015,0.24
3/24/2015,0.24
3/25/2015,0.25
3/26/2015,0.28
3/27/2015,0.27
3/30/2015,0.27
3/31/2015,0.26
4/1/2015,0.27
4/2/2015,0.25
4/3/2015,0.21
4/6/2015,0.21
4/7/2015,0.22
4/8/2015,0.22
4/9/2015,0.22
4/10/2015,0.24
4/13/2015,0.23
4/14/2015,0.23
4/15/2015,0.23
4/16/2015,0.22
4/17/2015,0.23
4/20/2015,0.24
4/21/2015,0.23
4/22/2015,0.23
4/23/2015,0.24
4/24/2015,0.24
4/27/2015,0.25
4/28/2015,0.24
4/29/2015,0.25
4/30/2015,0.24
5/1/2015,0.25
5/4/2015,0.25
5/5/2015,0.24
5/6/2015,0.25
5/7/2015,0.24
5/8/2015,0.23
5/11/2015,0.25
5/12/2015,0.25
5/13/2015,0.24
5/14/2015,0.23
5/15/2015,0.23
5/18/2015,0.22
5/19/2015,0.23
5/20/2015,0.23
5/21/2015,0.22
5/22/2015,0.23
5/25/2015,.
5/26/2015,0.24
5/27/2015,0.27
5/28/2015,0.26
5/29/2015,0.26
6/1/2015,0.26
6/2/2015,0.26
6/3/2015,0.26
6/4/2015,0.27
6/5/2015,0.29
6/8/2015,0.27
6/9/2015,0.27
6/10/2015,0.28
6/11/2015,0.28
6/12/2015,0.28
6/15/2015,0.28
6/16/2015,0.28
6/17/2015,0.27
6/18/2015,0.26
6/19/2015,0.25
6/22/2015,0.27
6/23/2015,0.3
6/24/2015,0.3
6/25/2015,0.29
6/26/2015,0.29
6/29/2015,0.27
6/30/2015,0.28
7/1/2015,0.28
7/2/2015,0.26
7/3/2015,.
7/6/2015,0.26
7/7/2015,0.25
7/8/2015,0.24
7/9/2015,0.25
7/10/2015,0.28
7/13/2015,0.28
7/14/2015,0.27
7/15/2015,0.28
7/16/2015,0.29
7/17/2015,0.29
7/20/2015,0.31
7/21/2015,0.34
7/22/2015,0.34
7/23/2015,0.33
7/24/2015,0.32
7/27/2015,0.32
7/28/2015,0.32
7/29/2015,0.33
7/30/2015,0.36
7/31/2015,0.33
8/3/2015,0.33
8/4/2015,0.37
8/5/2015,0.38
8/6/2015,0.35
8/7/2015,0.38
8/10/2015,0.4
8/11/2015,0.37
8/12/2015,0.37
8/13/2015,0.4
